,Unnamed: 0,steam_appid,name,english,publisher,platforms,genres,average_playtime,median_playtime,owners,price,grade,month,year,economic_success,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent
0,19,440,Team Fortress 2,1.0,Valve,windows,Action;Free to Play,8495.0,623.0,20.0,0.0,0.9381067983233772,10.0,2007.0,0.0,2007,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,21,550,Left 4 Dead 2,1.0,Valve,windows,Action,1615.0,566.0,10.0,7.19,0.9676488334287702,11.0,2009.0,107.85,2009,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,27,1200,Red Orchestra: Ostfront 41-45,1.0,Tripwire Interactive,windows,Action,232.0,258.0,0.5,3.99,0.8750700280112045,3.0,2006.0,2.9925,2006,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,28,1250,Killing Floor,1.0,Tripwire Interactive,windows,Action,1328.0,306.0,2.0,14.99,0.9529977465888324,5.0,2009.0,52.465,2009,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
4,73,2820,X3: Terran Conflict,1.0,Egosoft,windows,Action;Simulation;Strategy,972.0,1273.0,0.5,15.99,0.8572178477690289,10.0,2008.0,11.9925,2008,10,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
5,76,2870,X Rebirth,1.0,Egosoft,windows,Action;Simulation,1744.0,3386.0,0.2,24.99,0.4125874125874126,11.0,2013.0,8.7465,2013,11,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
6,83,3050,Xpand Rally Xtreme,1.0,Techland,windows,Racing,0.0,0.0,0.02,3.99,0.6635514018691588,10.0,2008.0,0.13965,2008,10,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
8,98,3540,Peggle™ Nights,1.0,"PopCap Games, Inc.",windows,Casual,237.0,237.0,0.2,4.25,0.9387755102040816,10.0,2008.0,1.4875,2008,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
9,113,3830,Psychonauts,1.0,Double Fine Productions,windows,Action,491.0,232.0,2.0,6.99,0.9473441108545034,10.0,2006.0,24.465,2006,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
11,120,4000,Garry's Mod,1.0,Valve,windows,Indie;Simulation,12422.0,1875.0,10.0,6.99,0.956772781556948,11.0,2006.0,104.85,2006,11,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
12,128,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,1.0,GSC Game World,windows,Action;RPG,493.0,360.0,1.0,9.99,0.9509001636661212,3.0,2007.0,14.985,2007,3,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
13,131,4560,Company of Heroes - Legacy Edition,1.0,SEGA,windows,Violent;Action;Strategy,175.0,186.0,2.0,0.0,0.9371563236449332,7.0,2007.0,0.0,2007,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
14,145,4920,Natural Selection 2,1.0,Unknown Worlds Entertainment,windows,Action;Indie;Strategy,627.0,253.0,1.0,6.99,0.8482269503546099,10.0,2012.0,10.485,2012,10,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
15,164,6420,Nexus - The Jupiter Incident,1.0,HandyGames,windows,Indie;Simulation;Strategy,0.0,0.0,0.05,6.99,0.8404255319148937,7.0,2007.0,0.52425,2007,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
16,187,7510,X-Blades,1.0,Topware Interactive,windows,Nudity;Violent;Action;Adventure;RPG,313.0,341.0,0.5,6.99,0.6148409893992933,4.0,2009.0,5.2425,2009,4,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
17,188,7520,Two Worlds II HD,1.0,"Topware Interactive, ACE",windows,Nudity;Violent;RPG,327.0,403.0,0.5,14.99,0.5982370225269343,2.0,2011.0,11.2425,2011,2,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
20,199,7840,Death Track®: Resurrection,1.0,1C Entertainment,windows,Racing,0.0,0.0,0.02,1.99,0.4047619047619048,5.0,2009.0,0.06965,2009,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21,200,7860,NecroVision,1.0,1C Entertainment,windows,Action,113.0,113.0,0.1,3.99,0.6662546353522868,5.0,2009.0,0.5985,2009,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
22,215,8790,GTR 2 FIA GT Racing Game,1.0,SimBin,windows,Racing;Simulation;Sports,0.0,0.0,0.05,4.99,0.9157894736842104,12.0,2012.0,0.37425,2012,12,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0
27,237,9480,Saints Row 2,1.0,Deep Silver,windows,Action,322.0,81.0,2.0,9.99,0.766209526900917,1.0,2009.0,34.965,2009,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28,243,9880,Champions Online,1.0,Perfect World Entertainment,windows,Free to Play;Massively Multiplayer;RPG,12952.0,724.0,1.0,0.0,0.7165977961432507,6.0,2011.0,0.0,2011,6,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
29,244,9900,Star Trek Online,1.0,Perfect World Entertainment,windows,Free to Play;Massively Multiplayer;RPG,2514.0,638.0,1.0,0.0,0.7616151545363908,1.0,2012.0,0.0,2012,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
30,245,9940,Blade Kitten,1.0,Krome Studios,windows,Action;Adventure,222.0,360.0,0.05,1.99,0.8335195530726257,5.0,2014.0,0.14925,2014,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
31,250,10100,King's Quest™ Collection,1.0,Activision,windows,Adventure,10.0,19.0,0.1,14.99,0.7961783439490446,7.0,2009.0,2.2485,2009,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
32,251,10110,Space Quest™ Collection,1.0,Activision,windows,Adventure,10.0,10.0,0.1,9.99,0.772972972972973,7.0,2009.0,1.4985,2009,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
33,267,11040,Sherlock Holmes - Nemesis,1.0,Frogwares,windows,Adventure;RPG,0.0,0.0,0.1,6.99,0.7261146496815286,8.0,2008.0,1.0485,2008,8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
34,268,11050,Dracula Origin,1.0,Frogwares,windows,Adventure,0.0,0.0,0.02,6.99,0.6762589928057554,8.0,2008.0,0.24465,2008,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
35,275,11240,Space Trader: Merchant Marine,1.0,Meridian4,windows,Action;Indie;Strategy,15.0,15.0,0.2,3.99,0.4909688013136289,10.0,2008.0,1.3965,2008,10,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
37,285,11590,Hospital Tycoon,1.0,Codemasters,windows,Simulation,119.0,176.0,0.2,3.49,0.36764705882352944,2.0,2009.0,1.2215,2009,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
38,288,12120,Grand Theft Auto: San Andreas,1.0,Rockstar Games,windows,Action,807.0,249.0,2.0,9.99,0.8923306772908367,1.0,2008.0,34.965,2008,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
39,297,12320,Sacred Gold,1.0,Strategy First,windows,Action;RPG,337.0,404.0,0.2,6.99,0.8235619469026548,7.0,2008.0,2.4465,2008,7,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
40,299,12340,Jack Keane,1.0,Deck13,windows,Adventure,0.0,0.0,0.02,6.99,0.6301369863013698,6.0,2008.0,0.24465,2008,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
42,318,12640,Drakensang,1.0,DTP Entertainment,windows,RPG,0.0,0.0,0.1,6.99,0.7677419354838709,3.0,2009.0,1.0485,2009,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
43,321,12770,Rise of the Argonauts,1.0,Codemasters,windows,RPG,88.0,147.0,0.2,4.99,0.6721915285451197,1.0,2009.0,1.7465,2009,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
44,322,12790,Damnation,1.0,Codemasters,windows,Action;Adventure,0.0,0.0,0.05,6.99,0.4203821656050956,5.0,2009.0,0.52425,2009,5,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
45,326,13140,America's Army 3,1.0,U.S. Army,windows,Action,12.0,13.0,0.5,0.0,0.6769436997319035,6.0,2009.0,0.0,2009,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
46,336,13560,Tom Clancy's Splinter Cell®,1.0,Ubisoft,windows,Action,28.0,28.0,0.2,4.29,0.8595988538681948,4.0,2008.0,1.5015,2008,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
49,390,16720,Velvet Assassin,1.0,Missing Link Games,windows,Action,9.0,10.0,0.2,1.69,0.5943442223305705,5.0,2009.0,0.5915,2009,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50,391,16730,Legendary,1.0,SouthPeak Games,windows,Action,90.0,90.0,0.2,1.69,0.522673031026253,12.0,2008.0,0.5915,2008,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
52,393,16900,GROUND BRANCH,1.0,BlackFoot Studios,windows,Action;Indie;Early Access,0.0,0.0,0.02,15.49,0.807277628032345,8.0,2018.0,0.54215,2018,8,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
53,399,17300,Crysis,1.0,Electronic Arts,windows,Action,313.0,105.0,1.0,9.99,0.8263057671381937,9.0,2008.0,14.985,2008,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
54,409,17500,Zombie Panic! Source,1.0,Zombie Panic Team,windows,Action;Free to Play;Indie,948.0,86.0,0.5,0.0,0.8521274874615758,10.0,2008.0,0.0,2008,10,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
55,410,17570,"Pirates, Vikings, and Knights II",1.0,Octoshark Studios,windows,Action;Free to Play;Indie,117.0,197.0,0.5,0.0,0.868355575661615,2.0,2010.0,0.0,2010,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
56,425,18500,Defense Grid: The Awakening,1.0,Hidden Path Entertainment,windows,Indie;Strategy,455.0,686.0,0.5,6.99,0.9669590643274854,12.0,2008.0,5.2425,2008,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
57,441,20510,S.T.A.L.K.E.R.: Clear Sky,1.0,GSC World Publishing,windows,Action;RPG,716.0,779.0,0.5,7.99,0.8600650860065086,9.0,2008.0,5.9925,2008,9,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
59,454,21090,F.E.A.R.,1.0,Warner Bros. Interactive Entertainment,windows,Action,389.0,498.0,1.0,35.96,0.9356733734762814,5.0,2010.0,53.94,2010,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
60,461,21660,Street Fighter® IV,1.0,Capcom,windows,Action,0.0,0.0,0.1,13.99,0.7007125890736342,7.0,2009.0,2.0985,2009,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
61,464,21690,Resident Evil™ 5/ Biohazard 5®,1.0,Capcom,windows,Action;Adventure,868.0,532.0,1.0,13.99,0.8511225616488775,9.0,2009.0,20.985,2009,9,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
62,473,22200,Zeno Clash,1.0,ACE Team,windows,Action;Indie,307.0,307.0,0.2,6.99,0.8476027397260274,4.0,2009.0,2.4465,2009,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
63,475,22300,Fallout 3,1.0,Bethesda Softworks,windows,RPG,588.0,617.0,0.5,7.99,0.7855106888361045,10.0,2008.0,5.9925,2008,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
64,476,22310,Rogue Warrior,1.0,Bethesda Softworks,windows,Action,29.0,29.0,0.05,3.99,0.660056657223796,12.0,2009.0,0.29925,2009,12,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
65,479,22350,BRINK,1.0,Bethesda Softworks,windows,Action;Free to Play,181.0,99.0,1.0,0.0,0.5997596153846154,5.0,2011.0,0.0,2011,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
66,480,22370,Fallout 3: Game of the Year Edition,1.0,Bethesda Softworks,windows,RPG,1242.0,1076.0,2.0,14.99,0.7978594234833836,12.0,2009.0,52.465,2009,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
67,482,22450,Hunted: The Demon’s Forge™,1.0,Bethesda Softworks,windows,Action;Adventure,28.0,28.0,0.1,3.99,0.70042194092827,6.0,2011.0,0.5985,2011,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
68,498,23600,Depths of Peril,1.0,Soldak Entertainment,windows,Indie;RPG;Strategy,0.0,0.0,0.02,6.99,0.7419354838709677,11.0,2010.0,0.24465,2010,11,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
69,500,24010,Train Simulator 2019,1.0,Dovetail Games - Trains,windows,Simulation,287.0,385.0,1.0,34.99,0.6163635056438277,9.0,2015.0,52.485,2015,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
71,506,24460,King Arthur: Fallen Champions,1.0,Paradox Interactive,windows,RPG;Strategy,13.0,13.0,0.05,3.99,0.3939393939393939,9.0,2011.0,0.29925,2011,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
72,507,24480,King Arthur II: The Role-Playing Wargame,1.0,Paradox Interactive,windows,RPG;Strategy,46.0,46.0,0.1,7.99,0.5266106442577031,1.0,2012.0,1.1985,2012,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
73,520,24980,Mass Effect 2,1.0,Electronic Arts,windows,RPG,1087.0,736.0,1.0,19.99,0.9516804849781582,1.0,2010.0,29.985,2010,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
74,523,25500,Cricket Revolution,1.0,Mindstorm Studios,windows,Indie;Simulation;Sports,0.0,0.0,0.02,1.99,0.5575221238938053,10.0,2009.0,0.06965,2009,10,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
75,526,25700,Madballs in Babo:Invasion ,1.0,Playbrains,windows,Indie,54.0,54.0,0.05,3.99,0.8389830508474576,9.0,2009.0,0.29925,2009,9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
76,529,25850,Elven Legacy,1.0,1C Entertainment,windows,RPG;Strategy,27.0,27.0,0.05,3.99,0.7238095238095238,4.0,2009.0,0.29925,2009,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
77,534,25980,Majesty 2,1.0,Paradox Interactive,windows,Simulation;Strategy,0.0,0.0,0.1,7.99,0.7011494252873564,9.0,2009.0,1.1985,2009,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
78,536,26000,The Maw,1.0,Twisted Pixel Games,windows,Action;Indie,14.0,14.0,0.05,8.99,0.8172588832487309,3.0,2009.0,0.67425,2009,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
80,599,32500,STAR WARS™: The Force Unleashed™ II,1.0,LucasArts;Lucasfilm;Disney Interactive,windows,Action,249.0,365.0,1.0,15.49,0.5824039653035935,11.0,2010.0,23.235,2010,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
81,600,32510,LEGO® Star Wars™ III - The Clone Wars™,1.0,LucasArts;Lucasfilm;Disney Interactive,windows,Action;Adventure,196.0,294.0,0.2,15.49,0.8549222797927462,3.0,2011.0,5.4215,2011,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
82,638,33900,Arma 2,1.0,Bohemia Interactive,windows,Action;Simulation;Strategy,752.0,1263.0,1.0,7.99,0.8287769784172662,6.0,2009.0,11.985,2009,6,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
83,639,33930,Arma 2: Operation Arrowhead,1.0,Bohemia Interactive,windows,Action;Simulation;Strategy,8488.0,1120.0,2.0,11.99,0.9208936569107384,6.0,2010.0,41.965,2010,6,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
85,645,34190,Sonic & SEGA All-Stars Racing,1.0,SEGA,windows,Racing,759.0,859.0,0.2,4.99,0.7801778907242694,3.0,2010.0,1.7465,2010,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
86,646,34410,Death to Spies: Moment of Truth,1.0,1C Entertainment,windows,Action,2.0,2.0,0.1,4.99,0.8609271523178808,8.0,2009.0,0.7485,2009,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
88,659,35000,Mini Ninjas,1.0,Square Enix,windows,Action;Adventure,27.0,53.0,0.2,7.99,0.8565356004250797,9.0,2009.0,2.7965,2009,9,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
89,673,36000,Foreign Legion: Buckets of Blood,1.0,Sakari Indie,windows,Action;Indie,160.0,160.0,0.05,3.99,0.6237288135593221,8.0,2009.0,0.29925,2009,8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
90,725,38210,Roogoo,1.0,SouthPeak Games,windows,Casual,4.0,4.0,0.05,0.79,0.8053097345132744,12.0,2009.0,0.05925,2009,12,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
91,726,38230,Hotel Giant 2,1.0,Toplitz Productions,windows,Simulation,0.0,0.0,0.02,5.59,0.40993788819875776,1.0,2010.0,0.19565,2010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
92,737,38740,EDGE,1.0,Two Tribes Publishing,windows,Action;Indie,41.0,43.0,0.2,4.99,0.920515574650913,8.0,2011.0,1.7465,2011,8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
93,738,39000,Moonbase Alpha,1.0,NASA,windows,Adventure;Simulation;Strategy,54.0,46.0,1.0,0.0,0.8943170488534397,7.0,2010.0,0.0,2010,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
94,742,39150,FINAL FANTASY VIII,1.0,Square Enix,windows,RPG,2145.0,2470.0,0.5,9.99,0.886427976686095,12.0,2013.0,7.4925,2013,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
95,745,39210,FINAL FANTASY XIV Online,1.0,Square Enix,windows,Massively Multiplayer;RPG,28897.0,9324.0,1.0,9.99,0.8231640788921527,2.0,2014.0,14.985,2014,2,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
96,748,39520,The Guild Gold Edition,1.0,THQ Nordic,windows,Simulation;Strategy,28.0,39.0,0.1,8.99,0.7,9.0,2014.0,1.3485,2014,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
97,753,39650,The Guild II,1.0,THQ Nordic,windows,Simulation;Strategy,1014.0,1018.0,0.5,8.99,0.6626506024096386,6.0,2010.0,6.7425,2010,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
98,754,39660,The Guild II - Pirates of the European Seas,1.0,THQ Nordic,windows,Simulation;Strategy,0.0,0.0,0.2,8.99,0.689873417721519,6.0,2010.0,3.1465,2010,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
99,755,39670,Chaser,1.0,THQ Nordic,windows,Action,0.0,0.0,0.05,4.49,0.7299880525686977,7.0,2010.0,0.33675,2010,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
100,756,39680,The Guild II Renaissance,1.0,THQ Nordic,windows,Simulation;Strategy,1556.0,1590.0,0.2,8.99,0.8013190436933223,7.0,2010.0,3.1465,2010,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
101,757,39690,ArcaniA,1.0,THQ Nordic,windows,RPG,398.0,571.0,0.2,17.99,0.4906542056074766,10.0,2010.0,6.296499999999999,2010,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
102,758,39800,Nation Red,1.0,DiezelPower,windows,Action;Indie,154.0,222.0,0.2,1.79,0.8849894291754757,9.0,2009.0,0.6265,2009,9,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
104,769,40390,Risen 2: Dark Waters,1.0,Deep Silver,windows,RPG,1278.0,1257.0,1.0,7.99,0.7702423929860753,4.0,2012.0,11.985,2012,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
105,778,40980,Stronghold Legends: Steam Edition,1.0,FireFly Studios,windows,Simulation;Strategy,337.0,519.0,0.1,11.99,0.7666034155597723,9.0,2016.0,1.7985,2016,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
106,789,41700,S.T.A.L.K.E.R.: Call of Pripyat,1.0,GSC Game World,windows,Action;RPG,1969.0,3186.0,1.0,12.99,0.9558353692914866,2.0,2010.0,19.485,2010,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
107,796,42170,Krater,1.0,Fatshark,windows,Action;Adventure;Indie;RPG;Strategy,369.0,369.0,0.1,10.99,0.5659630606860159,6.0,2012.0,1.6485,2012,6,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0
111,814,43000,Front Mission Evolved,1.0,Square Enix,windows,Action,312.0,312.0,0.2,7.99,0.6080910240202275,10.0,2010.0,2.7965,2010,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
112,820,44350,GRID 2,1.0,Codemasters;Feral Interactive (Mac),windows,Racing;Sports,340.0,243.0,1.0,19.98,0.7988905226573988,5.0,2013.0,29.97,2013,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
113,824,44690,GT Legends,1.0,SimBin,windows,Racing;Simulation;Sports,0.0,0.0,0.1,4.99,0.8933333333333333,11.0,2012.0,0.7485,2012,11,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0
114,826,45100,Secret of the Magic Crystals,1.0,Artery Games,windows,Casual;Indie,176.0,176.0,0.1,3.99,0.8350964530180459,2.0,2010.0,0.5985,2010,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
115,833,45710,Dark Void™,1.0,Capcom,windows,Action;Adventure,143.0,143.0,0.05,6.49,0.4866071428571429,1.0,2010.0,0.48675,2010,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
116,838,45760,Ultra Street Fighter® IV,1.0,Capcom,windows,Action,835.0,1056.0,0.5,22.99,0.8784618662121858,8.0,2014.0,17.2425,2014,8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
117,841,46200,A.I.M. Racing,1.0,1C Entertainment,windows,Action;Racing,0.0,0.0,0.02,0.0,0.72,1.0,2010.0,0.0,2010,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
118,842,46250,NecroVisioN: Lost Company,1.0,1C Entertainment,windows,Action,0.0,0.0,0.1,4.99,0.7041666666666667,2.0,2010.0,0.7485,2010,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
119,843,46260,Star Wolves 3: Civil War,1.0,1C Entertainment,windows,RPG;Strategy,422.0,422.0,0.1,3.99,0.7780548628428927,3.0,2010.0,0.5985,2010,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
120,844,46270,Star Wolves,1.0,1C Entertainment,windows,RPG;Strategy,0.0,0.0,0.05,2.79,0.8125,3.0,2010.0,0.20925,2010,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
122,847,46340,Theatre of War 2: Africa 1943,1.0,1C Entertainment,windows,Simulation;Strategy,0.0,0.0,0.1,3.99,0.6323529411764706,7.0,2010.0,0.5985,2010,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
124,849,46360,Theatre of War 2: Kursk 1943,1.0,1C Entertainment,windows,Simulation;Strategy,0.0,0.0,0.05,3.99,0.6585365853658537,7.0,2010.0,0.29925,2010,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
128,870,46750,Dark Fall: Lost Souls,1.0,Iceberg Interactive,windows,Adventure;Indie,0.0,0.0,0.05,9.99,0.6337209302325582,4.0,2010.0,0.74925,2010,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
133,880,47400,Stronghold 3 Gold,1.0,FireFly Studios,windows,Simulation;Strategy,506.0,758.0,0.5,0.0,0.2893325387365912,5.0,2012.0,0.0,2012,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
135,895,48700,Mount & Blade: Warband,1.0,TaleWorlds Entertainment,windows,Action;RPG,7932.0,1884.0,2.0,14.99,0.9716590894538004,3.0,2010.0,52.465,2010,3,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
136,910,50300,Spec Ops: The Line,1.0,2K;Missing Link Games,windows,Action;Adventure,293.0,301.0,2.0,19.99,0.9252873563218392,6.0,2012.0,69.965,2012,6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
137,927,55100,Homefront,1.0,Deep Silver,windows,Action,1772.0,126.0,2.0,14.99,0.599064302034599,3.0,2011.0,52.465,2011,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
138,928,55110,Red Faction®: Armageddon™,1.0,THQ Nordic,windows,Action,307.0,436.0,1.0,14.99,0.7268279423756455,6.0,2011.0,22.485,2011,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
139,931,55230,Saints Row: The Third,1.0,Deep Silver,windows,Action,1848.0,1033.0,2.0,6.99,0.9597960888470024,11.0,2011.0,24.465,2011,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
140,939,57690,Tropico 4,1.0,Kalypso Media Digital,windows,Simulation;Strategy,518.0,268.0,2.0,12.49,0.9135570189192014,9.0,2011.0,43.715,2011,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
141,941,57740,Jagged Alliance - Back in Action,1.0,THQ Nordic,windows,RPG;Simulation;Strategy,185.0,244.0,0.2,14.99,0.6790697674418604,2.0,2012.0,5.2465,2012,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
142,945,58230,MacGuffin's Curse,1.0,Brawsome,windows,Adventure;Casual;Indie,229.0,229.0,0.02,6.99,0.8350515463917526,4.0,2012.0,0.24465,2012,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
143,966,62100,Chime,1.0,OneBigGame,windows,Casual,707.0,1382.0,0.1,3.99,0.9353233830845772,9.0,2010.0,0.5985,2010,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
145,987,65530,SpellForce 2: Faith in Destiny,1.0,THQ Nordic,windows,RPG;Strategy,1244.0,2481.0,0.2,13.99,0.5952380952380952,6.0,2012.0,4.8965,2012,6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
146,991,65610,ArcaniA: Fall of Setarrif,1.0,THQ Nordic,windows,RPG,5.0,5.0,0.1,13.99,0.34593023255813954,10.0,2011.0,2.0985,2011,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
147,993,65730,Take On Helicopters,1.0,Bohemia Interactive,windows,Simulation,2.0,4.0,0.2,11.99,0.5666666666666667,10.0,2011.0,4.1965,2011,10,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
148,994,65740,Carrier Command: Gaea Mission,1.0,Bohemia Interactive,windows,Action;Strategy,81.0,81.0,0.2,19.99,0.4502487562189055,9.0,2012.0,6.996499999999999,2012,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
149,996,65790,ARMA: Cold War Assault,1.0,Bohemia Interactive,windows,Action;Simulation;Strategy,28.0,39.0,1.0,3.49,0.7722987672226251,8.0,2011.0,5.235,2011,8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
150,997,65800,Dungeon Defenders,1.0,Trendy Entertainment,windows,Action;Indie;RPG;Strategy,1993.0,1205.0,1.0,9.99,0.9198279569892474,10.0,2011.0,14.985,2011,10,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0
