,Unnamed: 0,steam_appid,name,english,publisher,platforms,genres,average_playtime,median_playtime,owners,price,grade,month,year,economic_success,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent
566,1874,246420,Kingdom Rush,1.0,Ironhide Game Studio,windows,Action;Indie;Strategy,225.0,253.0,0.2,6.99,0.9655498769638464,1.0,2014.0,2.4465,2014,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
567,1875,246580,The Typing of The Dead: Overkill,1.0,SEGA,windows,Action,175.0,185.0,0.2,14.99,0.8679101636848116,10.0,2013.0,5.2465,2013,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
568,1876,246620,Plague Inc: Evolved,1.0,Ndemic Creations,windows,Casual;Indie;Simulation;Strategy,585.0,480.0,1.0,11.99,0.934,2.0,2016.0,17.985,2016,2,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0
569,1878,246700,Strike Vector,1.0,Ragequit Corporation,windows,Action;Indie,97.0,118.0,0.1,8.99,0.6735751295336787,1.0,2014.0,1.3485,2014,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
570,1881,246760,Legends of Eisenwald,1.0,Aterdux Entertainment,windows,Adventure;Indie;RPG;Strategy,506.0,674.0,0.1,14.99,0.7726926010678871,7.0,2015.0,2.2485,2015,7,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
571,1882,246800,BeatBlasters III,1.0,Chainsawesome Games,windows,Action;Indie,0.0,0.0,0.02,6.99,0.4025974025974026,2.0,2014.0,0.24465,2014,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
573,1886,246900,Viscera Cleanup Detail,1.0,RuneStorm,windows,Indie;Simulation,589.0,580.0,0.5,9.99,0.9209054957043502,10.0,2015.0,7.4925,2015,10,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
574,1887,246920,Bombernauts,1.0,Eyebrow Interactive,windows,Action;Indie,0.0,0.0,0.02,6.99,0.91869918699187,12.0,2017.0,0.24465,2017,12,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
575,1888,246940,Lords of the Black Sun,1.0,Iceberg Interactive,windows,Indie;Strategy,0.0,0.0,0.02,22.99,0.2065217391304348,9.0,2014.0,0.80465,2014,9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
576,1889,246960,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,1.0,HandyGames;Black Forest Games,windows,Action;Indie,99.0,99.0,0.1,3.99,0.8369905956112853,9.0,2013.0,0.5985,2013,9,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
577,1890,246980,InFlux,1.0,Impromptu Games,windows,Adventure;Casual;Indie,0.0,0.0,0.02,7.19,0.696078431372549,9.0,2013.0,0.25165,2013,9,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
578,1894,247140,Soundodger+,1.0,Adult Swim Games,windows,Casual;Indie,130.0,130.0,0.05,5.59,0.9017595307917888,10.0,2013.0,0.41925,2013,10,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
579,1896,247370,Mutant Mudds Deluxe,1.0,Good Shepherd Entertainment,windows,Action;Indie,0.0,0.0,0.1,6.99,0.7420814479638009,11.0,2013.0,1.0485,2013,11,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
580,1898,247660,Deadly Premonition: The Director's Cut,1.0,Rising Star Games,windows,Nudity;Violent;Gore;Action;Adventure,318.0,368.0,0.2,19.99,0.6899119837508463,10.0,2013.0,6.996499999999999,2013,10,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
581,1899,247730,Nether: Resurrected,1.0,"Nether Productions, LLC",windows,Action;Indie;Massively Multiplayer;RPG;Simulation,257.0,291.0,0.5,6.99,0.4230834704647336,6.0,2014.0,5.2425,2014,6,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0
