,appid,name,publisher,genres,owners,price,economic_success,total_ratings,rating_ratio,rating,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent,type
16561,734590,Civil Warfare: Another Bullet In The War,Mental Zone Digital Game Studios,Violent;Gore;Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Strategy;Early Access,9.903487552536127,1.0,10.463131911491967,136,0.36764705882352944,32.58463046688733,2018,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,Premium
16564,734750,PickCrafter,Fiveamp,Casual;Free to Play;Simulation,12.206072645530174,0.0,0.0,1953,0.8248847926267281,78.2744621429478,2017,12,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,Free
16569,734910,Eternal Hour: Golden Hour,Sekai Project,Adventure;Casual;Free to Play;Indie,11.512925464970229,0.0,0.0,694,0.9135446685878963,84.98391407628104,2017,11,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,Free
16577,735280,EMERGENCY 20,Sixteen Tons Entertainment,Simulation;Strategy,9.903487552536127,34.5,14.004063492665871,404,0.7326732673267327,67.25616828088987,2017,10,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,Premium
16581,735450,Ninja Way,Bullid Games,Casual;Indie,9.903487552536127,2.0,11.156264806643742,101,0.7227722772277227,63.296271288442604,2017,11,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Premium
16582,735460,Highway Madness,Game Cooks,Casual;Free to Play;Early Access,9.903487552536127,0.0,0.0,37,0.6486486486486487,54.0151762851722,2018,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Free
16589,735570,Project Rhombus,PsychoFlux Entertainment,Action;Casual;Free to Play;Indie,11.512925464970229,0.0,0.0,1147,0.9224062772449869,86.71020968054,2017,12,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,Free
16590,735580,11-11 Memories Retold,BANDAI NAMCO Entertainment Europe,Adventure;Casual,9.903487552536127,28.99,13.830055268966152,539,0.9016697588126159,83.38298857323748,2018,11,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Premium
16597,735850,Trailer Park Boys: Greasy Money,East Side Games,Casual;Free to Play;Indie;Simulation,11.512925464970229,0.0,0.0,721,0.7766990291262136,72.31542259576746,2018,4,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,Free
16601,736190,Chinese Parents,Coconut Island Games,Casual;Indie;RPG;Simulation,13.815510557964274,10.5,16.572350986727976,16554,0.9104144013531473,88.59696913732616,2018,9,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,Premium
16603,736220,Post Scriptum,Offworld Industries,Action;Indie;Massively Multiplayer;Simulation;Strategy,12.206072645530174,31.99,16.231111876740645,6937,0.7187545048291769,69.36804921761718,2018,8,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,Premium
16606,736260,Baba Is You,Hempuli Oy,Indie,12.206072645530174,15.5,15.506528641722577,7550,0.9864900662251656,95.29420339771782,2019,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Premium
16614,736570,The Crooked Man,PLAYISM,Adventure;Casual;Indie,9.903487552536127,3.0,11.561725152903833,220,0.9409090909090909,84.82719222333382,2018,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,Premium
16639,737800,F1 2018,Codemasters,Racing;Simulation;Sports,12.206072645530174,57.5,16.81747343095834,5341,0.8475940835049616,81.56045993517697,2018,8,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,Premium
16651,738060,Freddy Fazbear's Pizzeria Simulator,Scott Cawthon,Free to Play;Indie;Simulation,13.815510557964274,0.0,0.0,9691,0.9349912289753379,90.54962880269261,2017,12,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Free
16661,738500,The Parallax Effect,Danstarr13,Action;Adventure;Free to Play;Indie;Early Access,10.819778284410283,0.0,0.0,224,0.4642857142857143,41.88206476367322,2017,12,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,Free
16662,738520,Breathedge,RedRuins Softworks,Adventure;Early Access,11.512925464970229,19.5,14.888805380528378,4174,0.9168663152850982,87.95971370066202,2018,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Premium
16663,738530,New Gundam Breaker,BANDAI NAMCO Entertainment,Action,9.903487552536127,58.0,14.523546843628687,1084,0.46863468634686345,44.0055554402911,2018,9,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Premium
16664,738540,Tales of Vesperia: Definitive Edition,BANDAI NAMCO Entertainment,RPG,10.819778284410283,43.0,14.986443818289482,1363,0.896551724137931,84.55162448029509,2019,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Premium
16691,739210,My Coloring Book: Transport,For Kids,Casual;Indie,9.903487552536127,1.0,10.463131911491967,42,0.9047619047619048,75.89539196936872,2017,11,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Premium
16694,739260,Golden Hornet,PsychoFlux Entertainment,Action;Free to Play;Indie,9.903487552536127,0.0,0.0,145,0.9448275862068966,83.94404899606955,2017,12,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Free
